"MAX Digital","5483%","$6.5m","Software","Illinois","Chicago",32,
"MaxHome","5439%","$5.7m","Construction","Louisiana","New Orleans-Metairie LA",50,
"Alex and Ani","5221%","$230.1m","Retail","Rhode Island","Providence-New Bedford-Fall River RI-MA",1106,
"Crowdtap","5217%","$6.2m","Advertising & Marketing","New York","New York City",46,
"Compass Automation","5214%","$5.7m","Manufacturing","Illinois","Chicago",30,
"Multifamily Utility Company","5196%","$5.7m","Real Estate","California","San Diego",35,
"The Joint","5139%","$5.9m","Health","Arizona","Phoenix",19,
"Bizness Apps","5079%","$6.1m","Software","California","San Francisco",70,
"EcoSense","5059%","$15.3m","Construction","California","Los Angeles",59,
"PhotoBin","5003%","$6.3m","Consumer Products & Services","California","San Diego",61,
"PMG Worldwide","5000%","$5.7m","Advertising & Marketing","Texas","Dallas",44,
"Victor Securities","4897%","$6.4m","Financial Services","New Jersey","New York City",19,
"eLan Technologies","4864%","$9.1m","IT Services","Texas","Dallas",89,
"Centennial Lending Group","4845%","$166.8m","Financial Services","Pennsylvania","Philadelphia",41,
"Tough Mudder","4738%","$107.9m","Health","New York","New York City",143,
"Netcom3 Global","4725%","$30m","Software","California","Los Angeles",40,
"Gideon Services","4723%","$23.2m","Government Services","Alabama","Huntsville AL",3,
"Viderity","4723%","$18.3m","Government Services","District of Columbia","Washington DC",34,
"Affectiva","4676%","$5m","Software","Massachusetts","Boston",37,
"EverQuote","4669%","$45.9m","Advertising & Marketing","Massachusetts","Boston",40,
"Acordis International","4639%","$6m","IT Services","Florida","Miami",28,
"KRAVE Pure Foods","4632%","$16.9m","Food & Beverage","California","Napa CA",40,
"Main Street Hub","4625%","$9.1m","Advertising & Marketing","Texas","Austin",175,
"First Point Power","4355%","$23.4m","Energy","Rhode Island","Providence-New Bedford-Fall River RI-MA",4,
"Ethology","4219%","$8.8m","Advertising & Marketing","Arizona","Phoenix",64,
"Regal Wings","4146%","$54.3m","Travel & Hospitality","New York","New York City",126,
"Solect Energy","4101%","$12.4m","Energy","Massachusetts","Boston",23,
"Old Pro Roofing","4076%","$4.8m","Construction","Texas","Dallas",16,
"Clean Energy Experts","4064%","$6m","Advertising & Marketing","California","Los Angeles",53,
"LogoUp.com","4062%","$8m","Retail","Florida","Miami",32,
"ANALYTICA","4056%","$15m","IT Services","District of Columbia","Washington DC",28,
"Phunware","4040%","$22.1m","Software","Texas","Austin",131,
"iCracked","4033%","$7.3m","Consumer Products & Services","California","San Francisco",39,
"BuyBackWorld","4011%","$4.1m","Consumer Products & Services","New York","New York City",13,
"Tahzoo","3946%","$5.6m","Business Products & Services","District of Columbia","Washington DC",49,
"Connexion Point","3944%","$18.2m","Health","Utah","Salt Lake City",1250,
"Meister Cook","3943%","$7.7m","Manufacturing","Indiana","Fort Wayne IN",2,
"TUNE","3939%","$18.9m","Advertising & Marketing","Washington","Seattle",150,
"Constructure Management","3929%","$33.1m","Construction","Pennsylvania","Philadelphia",28,
"Pendo Management Group","3878%","$8.4m","Real Estate","Missouri","Kansas City MO-KS",14,
"Gemini Consulting & Services","3870%","$6.4m","IT Services","Missouri","St. Louis MO-IL",45,
"Next Step Living","3860%","$58m","Energy","Massachusetts","Boston",764,
"FastPay","3825%","$5m","Financial Services","California","Los Angeles",26,
"Early Upgrade","3746%","$18m","Consumer Products & Services","Florida","Jacksonville FL",6,
"Yochana IT Solutions","3694%","$5.6m","Human Resources","Michigan","Detroit",90,
"American Care Partners","3657%","$6.5m","Health","Virginia","Washington DC",192,
"Prepay Nation","3637%","$110.9m","Financial Services","Pennsylvania","Philadelphia",10,
"PEG Bandwidth","3613%","$32.8m","Telecommunications","Texas","Dallas",115,
"Global Energy Efficiency","3589%","$12.8m","Energy","New York","New York City",108,
"LaunchPoint","3544%","$12.8m","Health","Illinois","Chicago",72,
"Product Cloud","3543%","$5.2m","Retail","Wisconsin","Milwaukee-Waukesha-West Allis WI",7,
"GovSmart","3532%","$25.4m","Computer Hardware","Virginia","Charlottesville VA",12,
"The Clymb","3532%","$64.4m","Retail","Oregon","Portland OR",90,
"Alliance Health","3490%","$85.5m","Health","Utah","Salt Lake City",380,
"Inkling","3443%","$8.1m","Software","California","San Francisco",100,
"Patriot Group International","3402%","$24m","Government Services","Virginia","Washington DC",80,
"Insureon","3358%","$11.8m","Insurance","Illinois","Chicago",65,
"RevLocal","3342%","$7.2m","Advertising & Marketing","Ohio","Columbus OH",146,
"Apex Fuels","3324%","$134.5m","Energy","California","Riverside-San Bernardino-Ontario CA",37,
"Multicoreware","3322%","$7.6m","Software","California","San Jose",200,
"MobileHelp","3305%","$18.6m","Health","Florida","Miami",87,
"Ataraxis","3278%","$40.7m","Human Resources","Idaho","Boise City-Nampa ID",12,
"Fortress Gold Group","3258%","$9.8m","Financial Services","California","Los Angeles",15,
"AdColony","3236%","$52.7m","Advertising & Marketing","California","Los Angeles",73,
"Integral Ad Science","3232%","$23.4m","Advertising & Marketing","New York","New York City",87,
"Technomax","3225%","$4m","IT Services","New Jersey","Trenton NJ",18,
"hCentive","3214%","$26.4m","Health","Virginia","Washington DC",458,
"SimpliSafe Home Security","3076%","$38.4m","Security","Massachusetts","Boston",60,
"Boxman Studios","3074%","$4.3m","Manufacturing","North Carolina","Charlotte",43,
"SeatGeek","3039%","$12.2m","Consumer Products & Services","New York","New York City",30,
"Smashwords","3019%","$22m","Media","California","San Jose",23,
"Securityhunter","2998%","$35.9m","Government Services","Maryland","Baltimore",18,
"VRx","2987%","$89.5m","Health","Utah","Salt Lake City",74,
"SmackTom.com","2964%","$3.1m","Retail","Florida","Miami",42,
"Virtual Fleet Supervisor","2949%","$3.5m","Software","Florida","Orlando FL",10,
"CareCloud","2940%","$10.4m","Health","Florida","Miami",262,
"Fueled","2917%","$6.4m","Advertising & Marketing","New York","New York City",64,
"Bob's Watches","2861%","$11.1m","Retail","California","Los Angeles",14,
