"Ultra Mobile","100849%","$118.2m","Telecommunications","California","Los Angeles",105,
"TRYFACTA","28365%","$34.4m","IT Services","California","San Francisco",221,
"Optima Tax Relief","26007%","$33.6m","Financial Services","California","Los Angeles",302,
"Castle Medical","25485%","$83.6m","Health","Georgia","Atlanta",392,
"Quick Bridge Funding","24138%","$44.6m","Financial Services","California","Los Angeles",90,
"Drawbridge","23484%","$32.9m","Advertising & Marketing","California","San Francisco",100,
"StartApp","22036%","$37.1m","Software","New York","New York City",81,
"Restore Health","21753%","$30.4m","Health","Wisconsin","Madison WI",247,
"Scopely","19556%","$32m","Advertising & Marketing","California","Los Angeles",120,
"Company.com","18888%","$31m","Business Products & Services","Georgia","Atlanta",43,
"Jane","18787%","$56.9m","Retail","Utah","Provo-Orem UT",53,
"Nerium International","16617%","$403m","Consumer Products & Services","Texas","Dallas",299,
"XOOM Energy","16602%","$293.1m","Energy","North Carolina","Charlotte",140,
"Adore Me","15606%","$16m","Retail","New York","New York City",55,
"eLuxurySupply","14885%","$18.2m","Retail","Indiana","Evansville IN-KY",65,
"Goldco Precious Metals","13441%","$28.5m","Financial Services","California","Los Angeles",45,
"Access Point Financial","12010%","$29m","Financial Services","Georgia","Atlanta",60,
"Rant","11620%","$17.2m","Media","California","Los Angeles",23,
"Aarki","11133%","$31.6m","Advertising & Marketing","California","San Jose",146,
"Aseptia","11121%","$23.6m","Food & Beverage","North Carolina","Raleigh-Cary NC",112,
"TATCHA","10996%","$12m","Retail","California","San Francisco",50,
"iCracked","10656%","$15m","Consumer Products & Services","California","San Francisco",130,
"Vantage Point","8790%","$21.5m","Computer Hardware","Wisconsin","Chicago",16,
"Apeks Supercritical","8249%","$9m","Manufacturing","Ohio","Columbus OH",16,
"Acordis International","8126%","$9.9m","IT Services","Florida","Miami",38,
"HighPoint Global","8123%","$95.4m","Government Services","Indiana","Indianapolis IN",225,
"SkyRocket Media","8111%","$11.8m","Advertising & Marketing","Utah","Provo-Orem UT",31,
"InvitedHome","8001%","$11.3m","Travel & Hospitality","Colorado","Boulder CO",76,
"AllScreen","7965%","$10.8m","Advertising & Marketing","California","Los Angeles",12,
"ZZW Global","7904%","$8.6m","Energy","Oklahoma","Oklahoma City OK",22,
"Plant Therapy","7854%","$8.1m","Retail","Idaho","Twin Falls ID",35,
"Global Efficient Energy","7815%","$28.6m","Energy","Texas","Dallas",250,
"GoPole","7693%","$9.5m","Consumer Products & Services","New Jersey","New York City",4,
"The Trade Desk","6949%","$202m","Advertising & Marketing","California","Oxnard-Thousand Oaks-Ventura CA",250,
"AdTheorent","6772%","$22.2m","Advertising & Marketing","New York","New York City",110,
"Kabbage","6722%","$40.1m","Financial Services","Georgia","Atlanta",196,
